Model,CV Accuracy,Test Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8031±0.0248,0.8260869565217391,0.8301886792452831,0.8627450980392157,0.8461538461538461
Random Forest,0.8071±0.0269,0.8369565217391305,0.839622641509434,0.8725490196078431,0.8557692307692307
SVM,0.8125±0.0205,0.842391304347826,0.8173913043478261,0.9215686274509803,0.8663594470046083
XGBoost,0.7976±0.0455,0.8532608695652174,0.8378378378378378,0.9117647058823529,0.8732394366197183
